dates,Max Temperature (°F),Avg Temperature (°F),Min Temperature (°F),Max Dew Point (°F),Avg Dew Point (°F),Min Dew Point (°F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (in),Avg Pressure (in),Min Pressure (in),Precipitation (in)
2022-03-23,51,47.7,39,43,39.9,31,78,75.2,66,12,9.7,7,29.9,29.9,29.9,0.00
2022-03-24,47,43.6,40,40,37.0,33,90,78.2,62,13,9.6,6,29.8,29.8,29.8,0.13
2022-03-25,56,51.3,44,42,34.9,26,79,55.6,34,24,12.8,3,29.8,29.8,29.7,0.07
2022-03-26,48,45.9,41,41,39.9,38,88,80.2,74,22,13.8,3,30.0,30.0,30.0,0.07
2022-03-27,62,55.0,50,41,37.0,30,71,52.0,38,28,21.3,12,30.0,29.9,29.9,0.01
2022-03-28,53,50.4,44,41,37.6,30,70,60.9,50,6,1.1,0,30.2,30.2,30.1,0.00
2022-03-29,60,57.3,53,43,40.4,39,70,53.5,46,12,2.3,0,29.9,29.8,29.8,0.00
2022-03-30,66,63.9,57,46,44.5,43,59,49.5,45,13,2.9,0,29.7,29.7,29.7,0.00
2022-03-31,71,67.2,65,46,42.4,40,50,40.6,36,13,4.0,0,29.7,29.6,29.6,0.00
2022-04-01,84,78.9,75,45,44.0,42,35,29.6,26,23,13.2,2,29.6,29.5,29.4,0.00
2022-04-02,71,66.9,63,47,44.5,40,53,44.7,38,23,10.5,2,29.5,29.5,29.4,0.00
2022-04-03,70,58.1,53,50,45.2,40,82,65.3,33,30,20.7,10,29.6,29.5,29.5,0.00
2022-04-04,56,51.6,48,45,44.0,43,87,75.7,68,17,10.2,2,29.9,29.9,29.9,0.02
2022-04-05,49,47.5,47,45,44.1,42,92,87.9,83,9,2.3,1,29.8,29.7,29.6,0.17
2022-04-06,56,52.6,49,49,48.0,46,93,84.7,77,2,1.1,0,29.8,29.8,29.7,0.17
2022-04-07,56,53.5,50,50,47.1,43,88,79.5,74,6,2.1,0,29.6,29.5,29.3,0.00
2022-04-08,57,55.3,54,48,47.6,47,82,76.2,72,26,21.2,17,29.5,29.4,29.4,0.61
2022-04-09,69,67.4,63,49,47.8,45,58,49.4,42,5,1.6,0,29.6,29.6,29.5,0.00
2022-04-10,73,67.8,59,53,50.5,48,67,54.5,48,6,1.8,0,29.5,29.5,29.5,0.00
2022-04-11,54,51.1,48,49,47.3,45,90,86.6,82,39,23.6,15,29.5,29.4,29.3,0.00
2022-04-12,51,49.3,48,42,41.0,39,76,72.9,68,32,26.1,16,29.8,29.8,29.8,0.25
2022-04-13,54,50.4,46,42,38.7,34,72,64.2,53,31,22.5,10,29.9,29.8,29.8,0.09
2022-04-14,58,52.6,50,43,39.9,37,75,62.1,47,31,18.9,8,29.9,29.9,29.8,0.00
