dates,Max Temperature (°F),Avg Temperature (°F),Min Temperature (°F),Max Dew Point (°F),Avg Dew Point (°F),Min Dew Point (°F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (in),Avg Pressure (in),Min Pressure (in),Precipitation (in)
2022-04-02,46,35.1,23,34,26.5,21,100,73.2,49,7,4.4,1,24.3,24.3,24.2,0.00
2022-04-03,54,43.5,32,34,29.5,25,80,59.1,44,26,8.5,1,24.2,24.2,24.1,0.00
2022-04-04,54,43.3,32,32,29.0,25,81,59.0,41,23,12.1,3,24.2,24.2,24.1,0.00
2022-04-05,52,40.5,28,34,29.1,27,93,66.4,43,30,13.7,1,24.2,24.2,24.1,0.00
2022-04-06,54,44.9,37,37,34.4,30,93,68.4,44,33,16.6,5,24.2,24.1,24.1,0.00
2022-04-07,41,37.0,34,39,36.2,34,100,96.8,87,12,6.2,1,24.2,24.1,24.1,0.00
2022-04-08,48,36.5,32,43,35.0,32,100,94.8,71,24,7.6,2,24.1,24.0,24.0,0.00
2022-04-09,48,39.3,32,37,31.8,28,100,77.8,46,16,6.9,2,24.2,24.1,24.0,0.00
2022-04-10,52,41.3,30,36,31.5,27,100,70.5,47,13,5.4,0,24.2,24.2,24.2,0.00
2022-04-11,61,45.9,32,37,32.6,27,87,62.2,36,25,9.8,2,24.2,24.1,24.0,0.00
2022-04-12,50,40.5,30,36,29.9,25,93,68.0,37,38,16.5,5,24.0,23.9,23.8,0.00
2022-04-13,30,25.2,12,28,21.5,9,100,86.5,69,14,9.1,2,24.1,24.0,23.9,0.00
2022-04-14,34,19.2,1,21,13.0,0,92,78.3,52,8,3.6,0,24.2,24.2,24.1,0.00
2022-04-15,45,32.6,21,30,24.0,16,87,72.1,46,13,6.6,2,24.2,24.2,24.2,0.00
2022-04-16,52,39.6,28,32,28.4,25,93,67.5,40,15,6.4,0,24.2,24.2,24.2,0.00
2022-04-17,59,43.9,28,32,28.8,23,93,60.4,29,13,6.0,2,24.3,24.2,24.2,0.00
